title,year,journal,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
Massachusetts Prevalence of Opioid Use Disorder Estimation Revisited: Comparing a Bayesian Approach to Standard Capture-Recapture Methods,2023,Epidemiology,0.88224737113789,0.029398220548057883,0.029388244877108293,0.029387825467254644,0.029578337969689183
Compliance with the Veterans Health Administration's Pharmacy Benefit Management guidance for duration of clopidogrel following peripheral vascular interventions: a retrospective cohort study,2026,Journal of Managed Care and Specialty Pharmacy ,0.8884413032574371,0.028311219021187415,0.02745787254973134,0.027457624716332583,0.028331980455311576
A framework for validating AI in precision medicine: considerations from the European ITFoC consortium,2021,BMC Medical Informatics and Decision Making,0.903797852456892,0.02479204671511511,0.023610417375289218,0.023609068734244697,0.024190614718458982
Establishing a Protocol for EHR Data Extraction Using the WHO SMART Guidelines: A Tertiary Medical Center Experience in the Philippines,2025,Studies in Health Technology and Informatics,0.8668375233188437,0.033004530318630855,0.03299123844758193,0.0329900474360949,0.0341766604788488
Leveraging National Claims and Hospital Big Data: Cohort Study on a Statin-Drug Interaction Use Case,2021,JMIR Medical Informatics,0.9100246237262927,0.02248552356548582,0.02240415253799372,0.022402692648751138,0.02268300752147663
Feasibility of automated surveillance of implantable devices in orthopaedics via clinical data warehouse: the Studio study,2024,BMC Medical Informatics and Decision Making,0.9100603698525604,0.022228788602979877,0.021963171950305383,0.021961376078773357,0.023786293515380884
Improving Imaging Appropriateness in the Emergency Department: Radiology Clinical Decision Support in a Quaternary Care Centre—A Retrospective Observational Study,2026,Journal of Medical Imaging and Radiation Oncology,0.9035893475626124,0.02469465111781843,0.02351413961247829,0.023514542787198684,0.02468731891989221
Covariation of changing patent ductus arteriosus management and preterm infant outcomes in Pediatrix neonatal intensive care units,2021,Journal of Perinatology,0.8634909649155621,0.03360190949821948,0.03366129706589562,0.03365943852799837,0.03558638999232459
Tracking provenance in clinical data warehouses for quality management,2025,International Journal of Medical Informatics,0.8876150285016847,0.029406141868838477,0.027251390213373625,0.02724534643076873,0.028482092985334533
Adequacy of the Diagnostic Workup of Suspected Physical Abuse in Young Children: An Audit in the Paris Metropolitan Area,2025,Academic Pediatrics,0.8895005632825188,0.02883431271056107,0.027074101254590754,0.02707466630076065,0.02751635645156867
Modeling and integrating interactions involving the CYP450 enzyme system in a multi-terminology server: Contribution to information extraction from a clinical data warehouse,2023,International Journal of Medical Informatics,0.893149651143619,0.02785860594347798,0.026159144084881007,0.02615617090642505,0.026676427921597096
A standardized glucose–insulin–potassium infusion protocol in surgical patients: Use of real clinical data from a clinical data warehouse,2021,Diabetes Research and Clinical Practice,0.8302088212479354,0.04233369553263296,0.042354744935374125,0.04235671211764382,0.04274602616641382
A Sentence Classification–Based Medical Status Extraction Pipeline for Electronic Health Records: Institutional Case Study,2026,JMIR Medical Informatics,0.8664941823896897,0.03192292351009309,0.0178903105785746,0.017888116177628324,0.06580446734401439
The All-Payer Claims Database After the Gobeille Supreme Court Decision: Assessing the Impact on Fatal Opioid-Related Overdose Research,2026,Health Services Research,0.8981069830561472,0.02532000456493381,0.025354733021409753,0.025355071356321698,0.025863208001187687
Validation of an Electronic Phenotyping Algorithm for Patients With Acute Respiratory Failure,2022,Critical Care Explorations,0.8952293283804077,0.02643488568942528,0.02578518807159558,0.02578268543859692,0.026767912419974543
Association Between Glucagon-Like Peptide-1 Receptor Agonists Exposure and Intraocular Pressure Change: GLP-1 Receptor Agonists and Intraocular Pressure Change,2025,American Journal of Ophthalmology,0.8716955431201482,0.03181028274614319,0.031758318701003575,0.031757412520814335,0.03297844291189083
Retrospective Analysis of Clinical Feature in Trigeminal Neuralgia,2023,Pain Physician,0.9019867080997321,0.024692214253709325,0.0241975467803885,0.02419661502885037,0.024926915837319704
'Where have my patients gone?': A simulation study on real-world data processing in Clinical Data Warehouses,2024,Health Policy and Technology,0.8980810145759268,0.026915422905246605,0.0248962954840982,0.024891764981289633,0.025215502053438737
Insurance Instability for Patients With Opioid Use Disorder in the Year After Diagnosis,2024,JAMA Health Forum,0.8578234217412688,0.03526191490258206,0.03424166440239463,0.03423897896287322,0.038434019990881335
The Correlation Between Cracked Teeth and National Insurance Coverage of Dental Implants in South Korea: A Retrospective Cohort Analysis,2025,Journal of Clinical Medicine,0.8865955444784169,0.029015660633258646,0.02802272930240531,0.02802161340366554,0.028344452182253597
A hybrid cloud data lake architecture supporting the integration of clinical and genomics data,2025,Health Informatics Journal,0.8914117337688876,0.02701371682450292,0.026906578886185934,0.026901484562564287,0.027766485957859313
Impact of clomiphene citrate on multiple gestation births and perinatal outcomes: a nationwide cohort study,2025,Fertility and Sterility,0.8595605715438179,0.03436423348633497,0.034419776722065636,0.03442044502596113,0.037234973221820365
Creating a data warehouse to support monitoring of NSQHS blood management standard from EMR data,2024,BMC Medical Informatics and Decision Making,0.8923464052694288,0.027204833729852315,0.02671271880562986,0.026711198981949274,0.027024843213139818
A DICOM Framework for Machine Learning and Processing Pipelines Against Real-time Radiology Images,2021,Journal of Digital Imaging,0.6089523553586537,0.31446409578879203,0.024646868828254252,0.024647635870027003,0.027289044154273162
