title,year,journal,dominant_topic,dominant_topic_prob,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,abstract
Massachusetts Prevalence of Opioid Use Disorder Estimation Revisited: Comparing a Bayesian Approach to Standard Capture-Recapture Methods,2023,Epidemiology,1,0.8822,0.88224737113789,0.029398220548057883,0.029388244877108293,0.029387825467254644,0.029578337969689183,"Background: The National Survey on Drug Use and Health (NSDUH) estimated the prevalence of opioid use disorder (OUD) among the civilian, noninstitutionalized people aged 12 years or older in Massachusetts as 1.2% between 2015 and 2017. Accurate estimation of the prevalence of OUD is critical to the success of treatment and resource planning. Various indirect estimation approaches have been used but are subject to data availability and infrastructure-related issues. Methods: We used 2015 data from the Massachusetts Public Health Data Warehouse (PHD) to compare the results of two approaches to estimating OUD prevalence in the Massachusetts population. First, we used a seven-dataset capture-recapture analysis under log-linear model parameterization, controlling for the source dependence and effects of age, sex, and county through stratification. Second, we applied a benchmark-multiplier method in a Bayesian framework by linking health care claims data to death certificate data assuming an extrapolation of death rates from observed untreated OUD to unobserved OUD. Results: Our estimates for OUD prevalence among Massachusetts residents (aged 18-64 years) were 4.62% (95% CI = 4.59%, 4.64%) in the capture-recapture approach and 4.29% (95% CrI = 3.49%, 5.32%) in the Bayesian model. Both estimates were approximately four times higher than NSDUH estimates. Conclusion: The synthesis of our findings suggests that the disease surveillance system misses a large portion of the population with OUD. Our study also suggests that concurrent use of multiple methods improves the justification and facilitates the triangulation and interpretation of the resulting estimates. Trial registration: ClinicalTrials.gov Identifier: NCT04111939. © 2023 Lippincott Williams and Wilkins. All rights reserved."
Compliance with the Veterans Health Administration's Pharmacy Benefit Management guidance for duration of clopidogrel following peripheral vascular interventions: a retrospective cohort study,2026,Journal of Managed Care and Specialty Pharmacy ,1,0.8884,0.8884413032574371,0.028311219021187415,0.02745787254973134,0.027457624716332583,0.028331980455311576,"BACKGROUND: Clopidogrel was added to the national formulary of the Veterans Health Administration (VHA) in 2000, with national guidance in the form of Criteria for Use (CFU) generated in 2007 by the Pharmacy Benefits Management office. Although the national CFU restricted the duration of clopidogrel to no more than 30 days following peripheral vascular intervention (PVI) for peripheral artery disease (PAD), each local VHA Veterans Affairs Medical Center (VAMC) determined its own strategies of implementation. Strategies ranged from passive diffusion of information to electronic health record-mandated pharmacist approval for noncompliant CFU prescribing. OBJECTIVE: To characterize patterns of compliance to restricted duration of clopidogrel and determine the factors associated with compliance. METHODS: In a retrospective cohort study, we used the Veterans Affairs Surgical Quality Initiative Program (2007-2022) to identify index PVI performed for PAD and integrated post-PVI medication information from the VA Clinical Data Warehouse. Our primary outcome was to evaluate compliance with the CFU. During the active CFU period (2007-2018), we compared patient, procedural, and VAMC features by CFU compliance and determined their associations with compliance using multivariable logistic regression. We also characterized variation in compliance across the Veterans Integrated Service Network (VISN), VAMC, and surgeons. RESULTS: Among 7,206 PVIs with postoperative clopidogrel, 35% and 26% had post-PVI clopidogrel durations of no more than 30 days during and after the CFU period, respectively. During the active CFU period, we found no strong association among patient, PVI, and VAMC characteristics with compliance. Compliance during the active CFU period varied significantly among VISNs (16%-55%), VAMCs (0%-93%), and surgeons (0%-100%). CONCLUSIONS: Adherence to no more than 30 days of clopidogrel post-PVI was low during and after the active CFU period and varied substantially among the VISNs, VAMCs, and surgeons. Given that national guidance implementation was directed by local VHA pharmacies, this study highlights the importance and limitations of local implementation strategies on national guidance compliance. © 2026, Academy of Managed Care Pharmacy. All rights reserved."
A framework for validating AI in precision medicine: considerations from the European ITFoC consortium,2021,BMC Medical Informatics and Decision Making,1,0.9038,0.903797852456892,0.02479204671511511,0.023610417375289218,0.023609068734244697,0.024190614718458982,"Background: Artificial intelligence (AI) has the potential to transform our healthcare systems significantly. New AI technologies based on machine learning approaches should play a key role in clinical decision-making in the future. However, their implementation in health care settings remains limited, mostly due to a lack of robust validation procedures. There is a need to develop reliable assessment frameworks for the clinical validation of AI. We present here an approach for assessing AI for predicting treatment response in triple-negative breast cancer (TNBC), using real-world data and molecular -omics data from clinical data warehouses and biobanks. Methods: The European “ITFoC (Information Technology for the Future Of Cancer)” consortium designed a framework for the clinical validation of AI technologies for predicting treatment response in oncology. Results: This framework is based on seven key steps specifying: (1) the intended use of AI, (2) the target population, (3) the timing of AI evaluation, (4) the datasets used for evaluation, (5) the procedures used for ensuring data safety (including data quality, privacy and security), (6) the metrics used for measuring performance, and (7) the procedures used to ensure that the AI is explainable. This framework forms the basis of a validation platform that we are building for the “ITFoC Challenge”. This community-wide competition will make it possible to assess and compare AI algorithms for predicting the response to TNBC treatments with external real-world datasets. Conclusions: The predictive performance and safety of AI technologies must be assessed in a robust, unbiased and transparent manner before their implementation in healthcare settings. We believe that the consideration of the ITFoC consortium will contribute to the safe transfer and implementation of AI in clinical settings, in the context of precision oncology and personalized care. © 2021, The Author(s)."
Establishing a Protocol for EHR Data Extraction Using the WHO SMART Guidelines: A Tertiary Medical Center Experience in the Philippines,2025,Studies in Health Technology and Informatics,1,0.8668,0.8668375233188437,0.033004530318630855,0.03299123844758193,0.0329900474360949,0.0341766604788488,"The increasing demand for data-driven clinical decision making from electronic health records (EHRs) requires a standardized framework to guide stakeholders on translating clinical data requirements to technical specifications. The WHO SMART Guidelines was identified to guide translating narrative policies and guidelines into machine-readable specifications, providing structure on how to extract data from an EHR. This framework can help healthcare facilities to systematically process the complexities of EHR adoption as a whole. © 2025 The Authors."
Leveraging National Claims and Hospital Big Data: Cohort Study on a Statin-Drug Interaction Use Case,2021,JMIR Medical Informatics,1,0.91,0.9100246237262927,0.02248552356548582,0.02240415253799372,0.022402692648751138,0.02268300752147663,"Background: Linking different sources of medical data is a promising approach to analyze care trajectories. The aim of the INSHARE (Integrating and Sharing Health Big Data for Research) project was to provide the blueprint for a technological platform that facilitates integration, sharing, and reuse of data from 2 sources: the clinical data warehouse (CDW) of the Rennes academic hospital, called eHOP (entrepôt Hôpital), and a data set extracted from the French national claim data warehouse (Système National des Données de Santé [SNDS]). Objective: This study aims to demonstrate how the INSHARE platform can support big data analytic tasks in the health field using a pharmacovigilance use case based on statin consumption and statin-drug interactions. Methods: A Spark distributed cluster-computing framework was used for the record linkage procedure and all analyses. A semideterministic record linkage method based on the common variables between the chosen data sources was developed to identify all patients discharged after at least one hospital stay at the Rennes academic hospital between 2015 and 2017. The use-case study focused on a cohort of patients treated with statins prescribed by their general practitioner or during their hospital stay. Results: The whole process (record linkage procedure and use-case analyses) required 88 minutes. Of the 161,532 and 164,316 patients from the SNDS and eHOP CDW data sets, respectively, 159,495 patients were successfully linked (98.74% and 97.07% of patients from SNDS and eHOP CDW, respectively). Of the 16,806 patients with at least one statin delivery, 8293 patients started the consumption before and continued during the hospital stay, 6382 patients stopped statin consumption at hospital admission, and 2131 patients initiated statins in hospital. Statin-drug interactions occurred more frequently during hospitalization than in the community (3800/10,424, 36.45% and 3253/14,675, 22.17%, respectively; P<.001). Only 121 patients had the most severe level of statin-drug interaction. Hospital stay burden (length of stay and in-hospital mortality) was more severe in patients with statin-drug interactions during hospitalization. Conclusions: This study demonstrates the added value of combining and reusing clinical and claim data to provide large-scale measures of drug-drug interaction prevalence and care pathways outside hospitals. It builds a path to move the current health care system toward a Learning Health System using knowledge generated from research on real-world health data. © Aurélie Bannay, Mathilde Bories, Pascal Le Corre, Christine Riou, Pierre Lemordant, Pascal Van Hille, Emmanuel Chazard, Xavier Dode, Marc Cuggia, Guillaume Bouzillé."
Feasibility of automated surveillance of implantable devices in orthopaedics via clinical data warehouse: the Studio study,2024,BMC Medical Informatics and Decision Making,1,0.9101,0.9100603698525604,0.022228788602979877,0.021963171950305383,0.021961376078773357,0.023786293515380884,"Background: Total hip, knee and shoulder arthroplasties (THKSA) are increasing due to expanding demands in ageing population. Material surveillance is important to prevent severe complications involving implantable medical devices (IMD) by taking appropriate preventive measures. Automating the analysis of patient and IMD features could benefit physicians and public health policies, allowing early issue detection and decision support. The study aimed to demonstrate the feasibility of automated cohorting of patients with a first arthroplasty in two hospital data warehouses (HDW) in France. Methods: The study included adult patients with an arthroplasty between 2010 and 2019 identified by 2 data sources: hospital discharge and pharmacy. Selection was based on the health insurance thesaurus of IMDs in the pharmacy database: 1,523 distinct IMD references for primary THSKA. In the hospital discharge database, 22 distinct procedures for native joint replacement allowing a matching between IMD and surgical procedure of each patient selected. A program to automate information extraction was implemented in the 1st hospital data warehouse using natural language processing (NLP) on pharmacy labels, then it was then applied to the 2nd hospital. Results: The e-cohort was built with a first arthroplasty for THKSA performed in 7,587 patients with a mean age of 67.4 years, and a sex ratio of 0.75. The cohort involved 4,113 hip, 2,630 knee and 844 shoulder surgical patients. Obesity, cardio-vascular diseases and hypertension were the most frequent medical conditions. Discussion: The implementation of an e-cohort for material surveillance will be easily workable over HDWs France wild. Using NLP as no international IMD mapping exists to study IMD, our approach aims to close the gap between conventional epidemiological cohorting tools and bigdata approach. Conclusion: This pilot study demonstrated the feasibility of an e-cohort of orthopaedic devices using clinical data warehouses. The IMD and patient features could be studied with intra-hospital follow-up and will help analysing the infectious and unsealing complications. © The Author(s) 2024."
Improving Imaging Appropriateness in the Emergency Department: Radiology Clinical Decision Support in a Quaternary Care Centre—A Retrospective Observational Study,2026,Journal of Medical Imaging and Radiation Oncology,1,0.9036,0.9035893475626124,0.02469465111781843,0.02351413961247829,0.023514542787198684,0.02468731891989221,"Background: High volumes of low-value imaging represent a growing challenge for healthcare systems, contributing to unnecessary radiation exposure, increased costs, clinician burnout and environmental impact through CO2 emissions. Electronic Clinical Decision Support (eCDS) systems have emerged as a strategy to improve imaging appropriateness and reduce overutilisation. Methods: This retrospective observational study with pre- and post-implementation analysis evaluated the impact of an eCDS system (MedCurrent OrderWise) implemented in the emergency department (ED) of a quaternary hospital in Australia. Data were collected from 1 July 2024 to 30 June 2025 via the hospital data warehouse and vendor software administration application. Metrics included imaging request volumes, appropriateness scores (high, medium, low), order modifications and CT utilisation rates (examinations per 100 ED presentations). Analysis was descriptive, using absolute counts, percentages and rates. Results: Across the 12-month period, 75.3% of imaging requests were classified as high or medium appropriateness, indicating broad adherence to guidelines. Approximately 7% of orders were modified following eCDS prompts, reflecting meaningful improvements in appropriateness within a high-volume ED setting. CT utilisation decreased by 9.1% compared with the pre-eCDS period, suggesting a shift towards more selective imaging requests without restricting clinical autonomy. Educational engagement preceding implementation likely contributed to early reductions. Applying published emission estimates, this decline equated to an approximate reduction of 4744 kg of CO2 over 12 months. Conclusion: Integration of eCDS into clinical workflows was associated with improved imaging appropriateness, reduced low-value CT utilisation and potential environmental benefit. Sustained impact likely depends on clinician engagement, education and broader cultural change. © 2026 The Author(s). Journal of Medical Imaging and Radiation Oncology published by John Wiley & Sons Australia, Ltd on behalf of Royal Australian and New Zealand College of Radiologists."
Covariation of changing patent ductus arteriosus management and preterm infant outcomes in Pediatrix neonatal intensive care units,2021,Journal of Perinatology,1,0.8635,0.8634909649155621,0.03360190949821948,0.03366129706589562,0.03365943852799837,0.03558638999232459,"Objective: To test the hypothesis that NICU-specific preterm infant outcomes co-vary with changes in local patent ductus arteriosus (PDA) management. Study design: This retrospective multicenter study examined NICU-specific aggregated data for infants born 400–1499 g (VLBW) in the Pediatrix Clinical Data Warehouse. For each NICU and each year 2006–2016 we calculated proportion of infants receiving cyclooxygenase inhibitor (COXI) and/or PDA ligation and determined NICU-specific changes in these therapies between consecutive years. We examined relationships between NICU-specific changes in COXI/ligation and concurrent changes in local adjusted in-hospital outcomes. Results: In 5678 observations of change at 259 NICUs summarizing 78,105 infants, between-year decreases in NICU-specific proportion treated with COXI/ligation were associated with concurrent increases in local mortality and decreases in BPD among infants 400–749 g, and with decreased pulmonary hemorrhage in larger infants. Conclusions: NICU-specific adjusted mortality, BPD, and pulmonary hemorrhage rates co-vary with changes in local COXI/ligation rates in some VLBW infant subgroups. © 2021, The Author(s), under exclusive licence to Springer Nature America, Inc."
Tracking provenance in clinical data warehouses for quality management,2025,International Journal of Medical Informatics,1,0.8876,0.8876150285016847,0.029406141868838477,0.027251390213373625,0.02724534643076873,0.028482092985334533,"Introduction: Data provenance, which documents the origin, history, and transformations of data, can enhance the reproducibility of processing workflows and help to address errors and quality issues. In this work, we focus on tracking and utilizing provenance information as part of quality management in Extract-Transform-Load (ETL) processes used to build clinical data warehouses. Methods: We designed and implemented a framework that automatically tracks how data flows through an ETL process and detects errors and quality problems during processing. This information is then reported against an Application Programming Interface (API) that stores the issues along with contextual information on their location within the data being transformed and the overall workflow. We further designed a dashboard that supports health data engineers with inspecting the encountered issues and tracing them back to their root causes. Results: The framework was implemented in Java using the Spring Framework and integrated into ETL processes for Informatics for Integrating Biology and the Bedside (i2b2). The dashboard was realized using Grafana. We evaluated our approach on three different ETL processes for real-world datasets used to integrate them into our i2b2 clinical data warehouse. Using the provenance dashboard, we were able to identify frequent error patterns and link them to specific data points from the sources as well as ETL process steps. Provenance tracking increased the execution times of loading processes with an impact depending on the number of identified issues. Conclusions: Provenance tracking can be a valuable tool for implementing continuous quality management for ETL processes. Relevant information can be collected from existing ETL workloads using dedicated APIs and visualized through dashboards, which support the identification of frequent patterns of problems together with their root causes, providing valuable information for improvements. © 2024"
Adequacy of the Diagnostic Workup of Suspected Physical Abuse in Young Children: An Audit in the Paris Metropolitan Area,2025,Academic Pediatrics,1,0.8895,0.8895005632825188,0.02883431271056107,0.027074101254590754,0.02707466630076065,0.02751635645156867,"Objective: An adequate diagnostic workup of suspected child physical abuse (CPA) is crucial for an accurate diagnosis and to consider differential diagnoses. We aimed to audit the actual practices in Paris area hospitals and evaluate their adherence to current clinical guidelines. Methods: We used specific discharge codes suggesting CPA in the Assistance Publique-Hôpitaux de Paris clinical data warehouse to identify cases of young children <2 years old hospitalized for suspected CPA in 2018–19 in 7 university hospitals. We systematically reviewed the electronic medical records to confirm the suspected CPA. We compared the observed proportion of the diagnostic tests performed to that expected according to current national and international clinical guidelines. Results: Among the 97 included children (median age 5 months), 60% had intracranial injuries, 40% skin injuries, and 30% skeletal injuries; 8% died. At least one of the key diagnostic tests (radiological skeletal survey, eye fundus examination, and head computed tomography or magnetic resonance imaging) expected to be performed systematically according to guidelines was not performed in 14 (14%) of children. Bone metabolism investigation was performed in 33% of the 43 children with ≥1 unexplained fracture(s). Hemostasis and coagulation investigations were performed in 82% of the 76 children with bruises or internal bleeding. Conclusions: Practices observed in the Paris area university hospitals for the diagnostic workup of suspected CPA were not always consistent with guidelines, thus leading to risk of misdiagnosis. Obstacles to the complete implementation of guidelines, such as physician's nonadherence, must be identified and overcome. © 2025 Academic Pediatric Association"
